Library Folder,Symbol
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FBG900_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG676_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K325T-FFG900_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K355T-FFG901_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG676"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG676_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG676_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG676_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG676_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG676_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG676_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG676_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG676_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FBG900_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG676"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG676_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG676_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG676_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG676_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG676_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG676_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG676_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG676_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K410T-FFG900_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG1156_12_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901"""
